UnixTimeStamp,TimeStamp,X,Y,Z
1215697357081,2008-07-10 13:42:37,01.02,01.36,00.98
1215697358081,2008-07-10 13:42:38,01.19,01.17,00.79
1215697359085,2008-07-10 13:42:39,00.96,01.71,00.96
1215697360094,2008-07-10 13:42:40,01.20,01.65,00.95
1215697361094,2008-07-10 13:42:41,01.16,01.61,00.74
1215697362097,2008-07-10 13:42:42,00.84,01.42,01.16
1215697363097,2008-07-10 13:42:43,01.42,01.52,00.97
1215697364109,2008-07-10 13:42:44,01.32,01.62,00.85
1215697365109,2008-07-10 13:42:45,01.41,01.51,01.28
1215697366109,2008-07-10 13:42:46,01.53,01.56,00.78
1215697367110,2008-07-10 13:42:47,01.37,01.80,01.02
1215697368140,2008-07-10 13:42:48,01.02,01.48,01.02
1215697369141,2008-07-10 13:42:49,01.21,01.10,01.02
1215697370156,2008-07-10 13:42:50,01.33,01.24,00.69
1215697371157,2008-07-10 13:42:51,01.20,01.56,00.85
1215697372157,2008-07-10 13:42:52,01.00,01.26,01.00
1215697373171,2008-07-10 13:42:53,00.97,01.11,00.75
1215697374176,2008-07-10 13:42:54,01.03,01.42,01.00
1215697375187,2008-07-10 13:42:55,00.82,01.29,00.76
1215697376187,2008-07-10 13:42:56,01.50,01.42,01.31
1215697377204,2008-07-10 13:42:57,00.83,01.50,00.83
1215697378218,2008-07-10 13:42:58,,,,
1215697379219,2008-07-10 13:42:59,00.00,00.00,01.00
1215697380224,2008-07-10 13:43:00,,,,
1215697381234,2008-07-10 13:43:01,00.38,01.13,00.63
1215697382250,2008-07-10 13:43:02,01.16,01.16,01.09
1215697383265,2008-07-10 13:43:03,01.09,01.47,00.77
1215697384265,2008-07-10 13:43:04,01.48,01.33,00.97
1215697385282,2008-07-10 13:43:05,01.67,01.89,01.33
1215697386296,2008-07-10 13:43:06,01.51,01.26,01.37
1215697387296,2008-07-10 13:43:07,01.02,01.93,00.95
1215697388296,2008-07-10 13:43:08,02.51,02.00,02.65
1215697389297,2008-07-10 13:43:09,01.26,01.29,00.74
1215697390297,2008-07-10 13:43:10,02.72,03.00,02.38
1215697391311,2008-07-10 13:43:11,00.89,01.48,00.89
1215697392315,2008-07-10 13:43:12,00.82,01.18,00.77
1215697393328,2008-07-10 13:43:13,01.27,01.79,00.94
1215697394328,2008-07-10 13:43:14,,,,
1215697395343,2008-07-10 13:43:15,00.00,00.50,01.50
1215697396343,2008-07-10 13:43:16,00.00,00.00,02.00
1215697397344,2008-07-10 13:43:17,,,,
1215697398344,2008-07-10 13:43:18,00.54,01.92,00.92
1215697399359,2008-07-10 13:43:19,01.25,01.21,00.67
1215697400360,2008-07-10 13:43:20,01.10,01.10,01.20
1215697401360,2008-07-10 13:43:21,01.14,01.43,01.36
1215697402374,2008-07-10 13:43:22,00.00,06.00,02.00
1215697403374,2008-07-10 13:43:23,,,,
1215697404374,2008-07-10 13:43:24,00.91,01.36,00.36
1215697405375,2008-07-10 13:43:25,01.29,01.24,00.81
1215697406375,2008-07-10 13:43:26,00.67,02.00,01.67
1215697407375,2008-07-10 13:43:27,01.29,01.12,00.71
1215697408390,2008-07-10 13:43:28,03.48,03.10,02.95
1215697409391,2008-07-10 13:43:29,02.43,02.57,01.96
1215697410391,2008-07-10 13:43:30,02.63,02.25,01.75
1215697411406,2008-07-10 13:43:31,02.04,02.83,01.26
1215697412407,2008-07-10 13:43:32,01.19,01.51,00.97
1215697413407,2008-07-10 13:43:33,01.35,01.07,01.00
1215697414407,2008-07-10 13:43:34,01.20,01.55,00.84
1215697415407,2008-07-10 13:43:35,06.13,03.19,04.00
1215697416407,2008-07-10 13:43:36,07.14,13.28,10.79
1215697417407,2008-07-10 13:43:37,02.17,01.93,01.86
1215697418407,2008-07-10 13:43:38,11.61,09.39,27.56
1215697419421,2008-07-10 13:43:39,10.63,05.92,12.42
1215697420422,2008-07-10 13:43:40,09.53,05.25,06.22
1215697421422,2008-07-10 13:43:41,11.90,10.73,15.50
1215697422422,2008-07-10 13:43:42,12.86,06.02,10.23
1215697423422,2008-07-10 13:43:43,06.83,10.36,09.98
1215697424435,2008-07-10 13:43:44,04.80,04.29,04.87
1215697425438,2008-07-10 13:43:45,04.88,08.46,06.56
1215697426438,2008-07-10 13:43:46,05.31,07.39,06.19
1215697427438,2008-07-10 13:43:47,03.21,04.79,03.79
1215697428438,2008-07-10 13:43:48,10.25,13.25,04.13
1215697429438,2008-07-10 13:43:49,13.86,06.21,10.05
1215697430439,2008-07-10 13:43:50,10.26,08.91,09.61
1215697431453,2008-07-10 13:43:51,07.27,06.90,06.17
1215697432453,2008-07-10 13:43:52,04.34,03.72,02.31
1215697433453,2008-07-10 13:43:53,01.83,02.11,02.00
1215697434453,2008-07-10 13:43:54,03.75,03.50,05.75
1215697435453,2008-07-10 13:43:55,01.79,02.00,01.07
1215697436453,2008-07-10 13:43:56,01.95,01.35,01.35
1215697437453,2008-07-10 13:43:57,01.38,01.60,01.17
1215697438453,2008-07-10 13:43:58,01.33,01.70,00.95
1215697439453,2008-07-10 13:43:59,01.05,01.69,01.31
1215697440453,2008-07-10 13:44:00,01.68,01.95,02.52
1215697441453,2008-07-10 13:44:01,02.18,03.53,01.53
1215697442453,2008-07-10 13:44:02,01.78,04.22,02.44
1215697443462,2008-07-10 13:44:03,02.31,02.94,01.89
1215697444469,2008-07-10 13:44:04,01.28,01.38,00.84
