UnixTimeStamp,TimeStamp,X,Y,Z
1215697335968,2008-07-10 13:42:15,00.93,01.57,01.33
1215697336968,2008-07-10 13:42:16,00.95,01.23,01.03
1215697337968,2008-07-10 13:42:17,01.09,01.12,01.09
1215697338968,2008-07-10 13:42:18,,,,
1215697339984,2008-07-10 13:42:19,,,,
1215697340984,2008-07-10 13:42:20,,,,
1215697341984,2008-07-10 13:42:21,01.40,01.00,01.00
1215697342999,2008-07-10 13:42:22,,,,
1215697344005,2008-07-10 13:42:24,00.67,01.33,01.11
1215697345031,2008-07-10 13:42:25,01.00,01.00,00.67
1215697346031,2008-07-10 13:42:26,,,,
1215697347031,2008-07-10 13:42:27,,,,
1215697348031,2008-07-10 13:42:28,,,,
1215697349046,2008-07-10 13:42:29,00.00,02.50,01.00
1215697350046,2008-07-10 13:42:30,01.13,01.20,00.73
1215697351046,2008-07-10 13:42:31,02.00,00.88,01.13
1215697352047,2008-07-10 13:42:32,01.00,01.43,01.29
1215697353062,2008-07-10 13:42:33,01.05,01.10,00.95
1215697354062,2008-07-10 13:42:34,01.22,00.92,00.97
1215697355063,2008-07-10 13:42:35,01.32,01.24,00.90
1215697356063,2008-07-10 13:42:36,01.00,01.11,00.87
1215697357081,2008-07-10 13:42:37,00.83,01.12,01.12
1215697358081,2008-07-10 13:42:38,01.37,01.12,00.80
1215697359085,2008-07-10 13:42:39,01.24,01.02,00.78
1215697360094,2008-07-10 13:42:40,01.09,01.26,01.30
1215697361094,2008-07-10 13:42:41,00.70,01.37,00.67
1215697362097,2008-07-10 13:42:42,01.19,01.30,00.84
1215697363097,2008-07-10 13:42:43,00.86,01.17,00.93
1215697364109,2008-07-10 13:42:44,00.68,01.86,01.05
1215697365109,2008-07-10 13:42:45,00.95,01.41,01.30
1215697366109,2008-07-10 13:42:46,01.14,01.77,01.23
1215697367110,2008-07-10 13:42:47,01.53,03.98,01.88
1215697368140,2008-07-10 13:42:48,01.11,01.38,00.77
1215697369141,2008-07-10 13:42:49,01.23,00.95,00.79
1215697370156,2008-07-10 13:42:50,00.77,01.11,00.75
1215697371157,2008-07-10 13:42:51,00.90,01.39,01.00
1215697372157,2008-07-10 13:42:52,01.02,01.70,01.07
1215697373171,2008-07-10 13:42:53,01.16,01.53,00.98
1215697374176,2008-07-10 13:42:54,01.44,01.40,01.05
1215697375187,2008-07-10 13:42:55,00.98,01.57,00.91
1215697376187,2008-07-10 13:42:56,01.10,01.29,01.10
1215697377204,2008-07-10 13:42:57,01.23,00.98,00.57
1215697378218,2008-07-10 13:42:58,01.02,00.93,00.88
1215697379219,2008-07-10 13:42:59,00.81,01.23,01.00
1215697380224,2008-07-10 13:43:00,01.30,01.34,01.07
1215697381234,2008-07-10 13:43:01,01.14,01.55,01.07
1215697382250,2008-07-10 13:43:02,01.16,01.43,00.73
1215697383265,2008-07-10 13:43:03,00.91,01.21,01.21
1215697384265,2008-07-10 13:43:04,00.83,01.12,00.98
1215697385282,2008-07-10 13:43:05,01.88,02.38,01.81
1215697386296,2008-07-10 13:43:06,02.51,06.51,03.13
1215697387296,2008-07-10 13:43:07,01.23,01.55,01.25
1215697388296,2008-07-10 13:43:08,01.85,02.71,02.73
1215697389297,2008-07-10 13:43:09,01.20,01.64,01.09
1215697390297,2008-07-10 13:43:10,03.29,09.49,03.54
1215697391311,2008-07-10 13:43:11,00.95,01.71,01.02
1215697392315,2008-07-10 13:43:12,01.00,01.26,01.24
1215697393328,2008-07-10 13:43:13,00.88,01.26,01.05
1215697394328,2008-07-10 13:43:14,01.00,01.61,00.95
1215697395343,2008-07-10 13:43:15,00.98,01.11,00.80
